kor_sentence,labels
"미국 긴축 우려 일부 완화 …환율, 장 초반 1,189원 안팎",1
"""中 첫 입찰에 최다 수량 낙찰""...오스템임플란트, 이틀째 강세",1
"'제로 리저브 선언' 라인 블록체인 ""중앙화 우려 없다""",0
(마감)프로그램 1115억 매수 우위,1
"""내달부터 백신 접종""…호텔신라·신세계 동반상승",1
"법원, '라임펀드 불완전판매' KB증권 임직원들 1심 무죄",1
"""LG생활건강, 고마진 면세채널 부진…목표가 26%↓""-현대차",2
" 원/달러 환율 7.8원 내린 1,238.0원(개장)",0
"식신, 트윈코리아 사업부문에 허은솔 신임 대표 선임",0
"이복현 금감원장, 기관전용사모펀드 운용사 CEO 간담회 개최",0
"법원, 첫 P2E 게임 소송 '기각' 판결…스카이피플 패소",0
(마감)코스피 외국인 1904억 순매수,1
(마감)프로그램 101억 매수 우위,1
美 인플레이션 하락에 비트코인 연이틀 급등세…2만달러 육박,1
"CJ ENM, 콘텐츠 제작 강점 부각…드라마 '지리산' 부담 아쉬워-NH",1
"옵션만기일 맞은 코스피, 소폭 하락…""외국인 수급 주목""",2
"미래에셋운용, 국내외 ETF 운용규모 100조원 돌파",1
[코스피·코스닥 전 거래일(14일) 주요공시],0
"""14층에서 뛰어내린 기분""…고통 호소하는 카카오 주주들 [박의명의 불개미 구조대]",2
"파랗게 질린 코스피, 3100선 아래로…삼성전자 '9만원' 붕괴",2
"코스피, 방향성 타진…UAE투자 관련주 '강세'",1
"김치환 삼기이브이 대표 ""올해 매출 20~30% 성장할 것""",1
 코스피지수 상단 쉽게 뚫지 못할듯…방산 AI 로봇에 주목해야,0
"코스피, 기관 '팔자'에 하락 출발",2
"키움증권, 카카오 투자의견 '아웃퍼폼' 하향 조정",0
작년 주식결제대금 총액 375조5000억원…전년비 26.5% 감소,0
"청약한도 최대 2배…KB증권, 공모주 청약고객 위한 이벤트 실시",1
"풍산, 1647억 규모 대구경탄약 공급계약 [주목 e공시]",1
코스피 2900 깨졌다,2
" 원/달러 환율 0.3원 오른 1,239.0원(개장)",0
회장 사퇴·장내 매수에도 주가 뒷걸음…HDC그룹주 ↓,2
"셀리버리 ""복수 글로벌 제약사와 비지니스 합의점 도출""",1
"씨에스윈드, 554억 규모 윈드타워 공급계약 [주목 e공시]",1
코스피 2860선 마감…에코프로비엠 코스닥 대장주 '등극',1
"'2조 大魚' 프레스티지바이오파마 ""2030년 세계 톱10 항체기업 도약""",1
美 12월 PPI 전월比 0.5%↓…시장 예상치 대폭 하회,0
"17만 신라젠 주주들 어떡하나…'상폐 통보' 신라젠, 코스닥시장위서 결판",2
"코스피, 2년래 최고 급등한 美 국채금리에 주춤…시총상위株 대부분 내려",2
"미래에셋벤처투자, 250억원 유상증자에도 '강세'",1
"뉴진스, 데뷔 6개월 만에 '핫 100' 진입…하이브 5%대 '강세'",1
"코인원-포스텍, 연구센터 세워 암호화폐 기술 공동개발",0
" 원/달러 환율 1.0원 내린 1,102.9원(마감)",0
올해 채권 판매 723조원 기록 세워…인플레 둔화 기대에 급증,0
[코스피·코스닥 전 거래일(19일) 주요공시],0
"옐런 ""환율조작 용납안한다…중국의 불공정 무역관행과 싸울 것""(종합)",0
"'팔고갈까 vs 사고갈까'…코스피, 연휴 앞두고 '눈치보기'",0
" 오토앤, 코스닥 상장 첫날 강세",1
"윤창호 한국증권금융 사장 ""올해 26兆 넘게 유동성 공급…증시 활력 유지 목표""",1
 연준 '긴축 재부각'에 은행주 강세(종합),1
"LG전자, 12%대 급등 마감…모바일 사업 철수설",1
"햄버거 매장수 1위 맘스터치 ""자진 상폐""…주가 17% 급등",1
美 기술주 투매 현상에…삼성전자·SK하이닉스도 약세,2
"메드팩토 ""경쟁물질 임상 중단, 백토서팁에 긍정적""",1
2020년 말로 돌아간 코스피…반도체株 '와르르' 무너졌다,2
" (22일) 공모주청약=솔루엠(미래,KB) 등",0
 바이오주 올해는 뜰 수 있을까?…전문가 5인의 전망,0
비트코인 2주 새 30% 폭락,2
"""나 떨고 있니""…상폐 기로에 선 오스템임플란트, 거래소 결정에 '촉각'",2
 코스피 장중 2800선 무너져,2
"'낡은 규제' 외국인투자자 등록제, 30년 만에 폐지된다",0
(마감)프로그램 3488억 매도 우위,2
"상장 대박이요?...""5천만원 손실에 팔지도 못해요""",2
"코스피, 개인 '사자'에 오름세…원·달러 환율도 상승",1
MS '오픈AI 투자' 소식에 국내 챗봇 관련株 ↑,1
 '공장 화재' 에코프로비엠 반등,1
현대자동차 작년 영업이익 6조6789억원…전년 대비 178.9%↑,1
 이상고온에 천연가스값 급락해도…초고수들 BOIL '줍줍',0
'美동학개미' 로빈후드의 예상과 증시는 반대로 간다?,0
"""현대차, 물류 비용·원자재 가격 상승 부담 확대에 목표가↓""-메리츠",2
"'비트코인 옵션 거래소' 데리비트, 두바이로 이전 계획",0
"52주 신고가 경신…""신작 기대감 목표가 줄상향""",1
"네이버, 美 기술주 흔들리자 52주 신저가…4거래일 연속 내려",2
"에코프로비엠, 작년 4분기 영업익 970억…전년비 253.3%↑[주목 e공시]",1
"케이엠제약, 친환경 바이오 성분 이용한 치약 조성물 개발",0
포스코케미칼 작년 영업이익 1천217억원…전년 대비 101.9%↑,1
"지티지웰니스, 횡령·배임 혐의로 대표이사 등 고소[주목 e공시]",0
"코스피, 외국인·기관 매도세에 4거래일 연속 하락 마감",2
삼성물산 작년 영업이익 1조1천960억원…전년 대비 39.5%↑,1
[코스피·코스닥 전 거래일(26일) 주요공시],0
"""무디스, 스테이블코인 평가 시스템 구축 중""",0
"""LG유플러스, 올해도 외형 성장·수익성 개선세 지속할 것""-삼성",1
외국인 순매수 행진…코스피·코스닥 강보합,1
" LG이노텍, 지난해 '사상최대' 실적에 2%대 강세",1
"""아마존, 디지털자산 사업 준비 중…올 봄 NFT 이니셔티브 출범 예정""",0
삼성엔지니어링 작년 영업이익 5천33억원…9년만에 최대(종합),1
"기아, 5000억 규모 자사주 취득 결정 [주목 e공시]",0
" LG전자 작년 매출 74조7천억원 역대 최대…생활가전, 월풀 제치고 1위",1
70만원에 팔아도 없어서 못 산다…中 재테크 끝판왕 마오타이,0
DL 작년 영업이익 2천241억원…전년 대비 88.3%↑(종합),1
"호텔신라 작년 영업익, 전년 대비 34.1%↓…4분기 적자 전환(종합2보)",2
" LG에너지솔루션, 상장 후 2거래일 연속 '하락'",2
"툴젠, 티앤알바이오팹과 유도만능줄기세포 유전자교정 연구",0
"경동제약, 지속형 바이오의약품 개발 벤처에 20억원 투자",0
"KDAC, 신한은행 및 비트고와 업무협약 체결",1
호텔신라 작년 영업이익 1천188억원…2년만에 흑자전환(종합),1
호텔신라 작년 영업이익 1천188억원…2년만에 흑자전환(종합),1
(마감)코스피 기관 2536억 매도 우위,2
'린저씨' 눈물 멈출까…엔씨 '택진이형' 새 아이템은 TL [윤현주의 主食이 주식],0
신작 '미르M' 글로벌 출시 기대감…위메이드 '상승',1
원·달러 환율 9개월만에 최저…1227원에 장 마감,0
"""현대글로비스, 수익성 둔화 우려 있지만 주가 과도히 반영""-NH",0
"""영업이익 70% 급감""...삼성전자, 장 초반 하락세",2
지난해 감사인 지정 회사 1976곳…전년비 0.4%↑,0
"제일기획, 작년 영업익 3114억…전년비 25.5%↑[주목 e공시]",1
"현대백화점, 임시주총 앞두고 ""인적 분할 후 자사주 매입·소각""",0
SK하이닉스 4분기 영업손실 1조7천억원…10년만에 적자 '쇼크'(종합),2
"KB증권, 온라인 고객자산 21조원 돌파…프라임센터 밑바탕",1
"비스토스, 종합병원 산부인과 개설 의무화 추진에 '급등'",1
"세계 최대 블록체인 포럼 '컨센서스 2023', 미국 텍사스서 4월 개막",0
"""유튜브 악용한 은행 사칭 피싱사이트 속지 마세요""",0
'시총 상위' 종목 고공행진…대형주 오르자 중형주 더 올랐다,1
[코스피·코스닥 전 거래일(1일) 주요공시],0
"FOMC 결과에 나스닥 '훈풍'…네카오, 동반 상승세",1
(마감)코스피 외국인 1935억 순매수,1
"메리츠금융지주, 보통주 1주당 105원 현금배당 [주목 e공시]",0
Fed 긴축에…코인 투자 대기자금 석달 새 17% 줄었다,0
"""한국타이어앤테크놀로지, 이익 모멘텀 기대에 목표가↑""-다올",1
아마존 분기 매출 첫 1천억불 돌파…알파벳은 23% 증가(종합),1
"설 연휴 끝낸 코스피, 2% 가까이 급등… 2700선 회복",1
"피에스엠씨, HLB그룹 피인수 소식에 3거래일 연속 '上'",1
"엔피, 삼성전자 XR 생태계 확장 소식에 주가 급등",1
"코스모화학, 에코프로비엠과 341억원 공급계약에 강세",1
(마감)코스피 기관 5823억 매도 우위,2
"블룸버그 ""바이낸스, 고팍스 지분 과반수 인수""",0
"'만년 저평가' 은행株, 점프하려면?…""배당성향 높이고 月배당 도입해야""",1
" 이지트로닉스, 코스닥 상장 첫날 상승세",1
"보이스피싱 당한 3000만원, 원금 두 배로 돌려받은 사연은?",1
"이뮤노믹, 메르켈 세포암 치료제 美 1상 승인",1
"반토막난 '황제주' 엔씨, 목표가 줄하향",2
" 원/달러 환율 2.5원 오른 1,121.0원(개장)",0
 올해 '흑자전환' 기대된다는 삼성중공업…이번엔 진짜일까,1
美 고용보고서 '쇼크'...금융시장 '트리플' 약세,2
코스피 미끄럼에 2430선 후퇴…삼성전자 3.45% 급락,2
"한국타이어앤테크놀로지, 올해 비용부담 지속…목표가 19% 하향",2
"""롯데렌탈, 금리 상승에 따른 업황 둔화 가능성에 목표가↓""-NH",2
급증한 개인 투자자 모셔라…증권가 주말마다 서버 증설 '분주',0
"SK이노, 작년 매출 78조·영업이익 4조로 역대 최대(종합)",1
에코프로비엠 잇단 악재에 9%대 급락…그룹주도 휘청,2
한국조선해양 작년 영업손실 3천556억원…적자 축소,1
"통상임금 충격 유가가 막아…현대重지주, 지주전환 후 최대실적(종합)",1
"코스피, 0.55% 상승…2,450대 턱걸이",1
"하나투어, 작년 영업손실 1천12억원…여행재개에 적자축소(종합)",0
LG엔솔 지분가치 고작 10%?…바닥 찾는 LG화학,2
" 원/달러 환율 0.8원 내린 1,254.5원(개장)",0
" 세종텔레콤, 유상감자 결정에 '12%대 급등'",1
"예탁원 ""작년 상장사 104곳 상호 바꿔…이미지 제고 목적""",0
SKC 작년 영업이익 4천645억원…전년 대비 130%↑,1
"빗썸, 취약계층 가정 이른둥이 지원 기부금 전달",0
신한금융 작년 순이익 4조6천423억원 '역대최대'…15.5%↑(종합),1
롯데쇼핑 작년 영업이익 2천156억원…전년 대비 37.7%↓,2
SK바이오사이언스 작년 영업이익 1천150억원…전년 대비 75.7%↓,2
"OCI, 영업이익 561% 급증한 2181억",1
"KB금융, 코로나로 축소됐던 배당성향 다시 확대…목표가 6%↑-신한",1
"""카카오게임즈, 업종 내 모멘텀 가장 풍부""-한화",1
" 원/달러 환율 0.5원 내린 1,119.1원(개장)",0
"환율, 0.2원 하락 출발…장 초반 1,196원대",0
"코인베이스 CEO ""가상자산 스테이킹 규제 도입 현실화 우려""",0
"미국 핀테크 기업 '어펌', 오는 3월 가상자산 사업 종료",0
"FSN-메타콩즈, PFP NFT 프로젝트 '선미야클럽' 선보여",0
"스튜디오드래곤 작년 영업이익 652억원…""창사 이래 최대 실적""(종합)",1
"코스피, 기관·외국인 매수에 상승 마감…코스닥 910선 회복",1
KT&G 작년 영업이익 1조2천678억원…전년 대비 5.3%↓,2
BNK금융 작년 당기순이익 5천193억원…전년 대비 7.63%↓(종합),2
"롯데케미칼, 시황 악화에 작년 적자…영업손실 7천584억원(종합2보)",2
[코스피·코스닥 전 거래일(9일) 주요공시],0
"""넷마블, 신작 힘입어 올해 흑자 전환할 것…목표가↑""-다올",1
" 한국파마, 에이피알지 코로나 치료제 인도 임상2상 착수 소식에 강세",1
"예탁원, 토큰증권 협의체 구성…신한투자·미래에셋·람다256 등 참여",0
"KT&G, 주당 4800원 현금 결산배당 결정[주목 e공시]",0
"NH투자증권, 농식품 크라우드펀딩 누적 참여자 2만명 돌파",1
SK네트웍스 작년 영업이익 1천219억원…전년 대비 1.7%↓,2
(마감)코스피 기관 9184억 매도 우위,2
(마감)프로그램 6427억 매수 우위,1
SK케미칼 작년 영업이익 5천552억원…전년 대비 257.4%↑,1
"""재주 부리는 개미…돈 버는 XXX"" [정경준의 주식어때]",0
"""이마트, 오프라인 실적 부진…목표가 15%↓""-NH",2
"안랩, 작년 영업이익 229억원…전년 대비 14.8%↑",1
"코스피, 미 연준 긴축 부담에 하락…2,747.71 마감",2
'엎친데 덮친 격' 美 긴축에 우크라이나 침공 우려까지…증시 어디로 가나 [주간전망],2
 제약·바이오 소외된 와중에 치솟은 '만년 잠룡' JW중외제약,0
러시아 감산 발표에 유가 급등…정유주 강세,1
"도이치모터스, 지난해 영업익 657억…전년비 16.6%↑[주목 e공시]",1
"CJ제일제당, 해외사업 호조에 식품 연 매출 10조 첫 돌파(종합)",1
차기 예탁원 사장 '이순호·박철영·도병원' 3파전 압축된 듯,0
"코스피, 시총 상위株 와르르…인플레에 우크라이나 침공 우려까지",2
"NH투자증권, 바이오차 자발적 탄소배출권 비즈니스 구축",0
이마트 작년 영업이익 54%↓…서머캐리백 이슈·고환율로 고전(종합),2
"초록뱀미디어, 탑툰 운영사 '탑코'와 MOU…""웹툰· NFT 사업서 협약""",1
한국앤컴퍼니 작년 영업이익 2천386억원…전년 대비 4.5%↑,1
한전KPS 작년 영업이익 1천240억원…전년 대비 8.4%↓,2
[코스피·코스닥 전 거래일(10일) 주요공시],0
"""DB하이텍, 반도체 공급난에 제품 경쟁력 재평가돼""-신한금투",1
"마스턴운용 ""카카오엔터프라이즈와 데이터센터 개발 협력""",1
"""기업인 10명 중 8명, 올해 경제 전망 '부정적'""",2
"글로벌 수소 ETF 2종, 상장 첫날 약세",2
" 원/달러 환율 12.8원 오른 1,282.2원(마감)",1
(마감)코스피 외국인 7261억 순매수,1
"엔씨소프트, 작년 영업익 3752억원…전년比 54.51%↓ [주목 e공시]",2
"美 1월 근원 소매 판매, 전월比 2.3%↑…예상치 대폭 상회",1
"F&F, 작년 4분기 '어닝 서프라이즈'…대장주 입지 여전-신한",1
"네오위즈, 신작 'P의 거짓' 기대감에 장 초반 강세",1
"반도체株, 우크라 긴장 완화에 강세…SK하이닉스 13만원 회복",1
"에코마케팅, 작년 영업익 570억원…전년비 42.2%↑[주목 e공시]",1
(마감)프로그램 736억 매도 우위,2
(마감)프로그램 736억 매도 우위,2
"바이낸스, 美 SWIFT 송금 문제 직면…""대체 솔루션 찾는다""",0
코웨이 작년 영업이익 6천402억원…전년 대비 5.6%↑,1
"위믹스, 코인원서 거래 재개…최고가 3000원 기록후 하락",2
"""롯데쇼핑, 변화 감지…순익 7년 만에 흑자전환 주목""-신한",1
" 인터파크, 자사주 355만주 소각·흑자전환 소식에 '강세'",1
"국제 유가, 물가 상승·재고 증가에 사흘째 하락 [오늘의 유가동향]",0
바이오플러스 “창사 이래 최대 실적…中 하이난 판매허가 1분기 기대”,1
"""지난해 가상자산 범죄 규모 2년 연속 증가…206억달러 손실""",0
" 원/달러 환율 7.4원 오른 1,107.5원(마감)",1
"中 위안화, 국제결제 비중 3.2%로 최고…엔화 넘어 4위",1
"삼성증권, 신용융자 이자율 인하…23일부터 적용",1
'꿀잠 매트리스' 너만 믿었는데…1년 만에 '-60%' 눈물 [윤현주의 主食이 주식],0
"""유진테크, 1분기 사상 최대 분기 매출 기록 예상""-하이",1
"'9600조원' 굴리는 블랙록도 비트코인 투자…""조금 해봤다""",0
"'리오프닝株 '클리오, 색조 화장품 수요 폭증 전망에 4%대 강세",1
주가 500배 뛴 두올물산...회사측 “펀더멘털만 봐달라”,1
 (18일)  한미반도체 등,0
"바이오리더스, 폴리감마글루탐산 아토피 개선 日 특허 등록",1
"""콘텐트리중앙, 해외 스튜디오 실적 부진해…목표가↓""-DS",2
"""폐배터리 사업 진출 긍정적""…아이에스동서 '강세'",1
"금투협, 자격시험센터 홈페이지 전면 개편",0
올해만 30% 올랐다…기관이 10거래일 연속 순매수한 종목,1
"""한화솔루션, 단기 실적 부진 심화 전망…목표가↓""-DB",2
"데이타솔루션, 尹대통령 데이터경제 활성화 지시에 '급등'",1
카지노株 리오프닝 기대감에 강세…파라다이스 6% 상승,1
"고려제약, 작년 영업익 143억…전년비 27.2%↑[주목 e공시]",1
 우크라이나 긴장 고조에 에너지주 강세(종합),1
"""뉴욕 맨해튼 술집, 25비트코인에 거래""…이색 매물 화제",0
"포브스 ""美 SEC 스테이블코인 단속, 가상자산 시장 재편할 수도""",0
러시아-우크라 긴장 '최고조'…국내증시 1%대 하락 출발,2
"""최고 37만원 제시""…하이브 목표주가 올려",1
"신성이엔지, 임원 인사 단행…성과주의·신사업 방점",0
"메디톡스, 美 소송 합의에 상한가 직행…목표가 줄상향",1
"그라운드X, 서울리빙디자인페어 참가…""디지털 아트 전시·판매""",0
"블랙록, 아태지역 기관사업 대표에 히로유키 시미즈 선임",0
"환율 1300원 재돌파에…당국, 긴급 시장상황 점검회의 소집",0
 (23일) 공모주청약=하나머스트7호기업인수목적(하나),0
"상장 1주년 이 주식, 연기금 순매수 5조원 돌파",0
"""덕산네오룩스, 중국 수요 부진 이미 주가에 반영돼…목표가↓""-삼성",2
"아마존게임즈와 손 잡은 엔씨소프트, 주가 4%대 '상승'",1
유가증권시장 상승률 상위 15개 중 9개가 조선株,0
"""가상자산 겨울 '끝자락' 예측…아시아 트레이더들, 투자 확대 전망""",1
" 원/달러 환율 0.9원 오른 1,193.6원(마감)",1
(마감)코스피 기관 3004억 매수 우위,1
"""땡큐, BOK·Fed""…주식·원화 반등 성공",1
"지난해 상장사 배당총액 47%↑…삼성전자, 20조원 배당 영향",1
"""엘앤에프, 테슬라 수혜주될 것… 2차전지 업종 최선호주""-KB",1
"LG전자, 태양광 패널 사업 철수로 영업익 개선 전망-키움",1
"유한양행, 4분기 어닝 서프라이즈…증권가 호평에 반등",1
우크라 위기 수혜주?...'안전자산·실적기대감' 급등,0
천연가스 가격 오르나…러시아군 우크라이나 진입 명령에 가스주 급등,1
"""STO, '증권성 토큰' 대피처로 활용 가능…리스크 감소 의미 있다""",1
"코오롱글로벌, 작년 영업이익 1천764억원…전년비 40.5%↑",1
"현대重지주, 한국조선해양 290만주 매입…지분율 35.05%로 확대",1
"2월 넷째 주, 한경 마켓PRO가 주목한 종목과 이슈는? [위클리 리뷰]",0
"개미들 '줍줍' 잘했나…증권가 ""관망보단 매수하라""",1
"'美中' 훈풍에 코스피 급등, 3090선 돌파…SK하이닉스 8%↑",1
" 원/달러 환율 0.8원 내린 1,201.6원(마감)",0
 (25일) 세방 등,0
"'금리 발작'에 코스피 롤러코스터…""2970선 수성 여부가 고비""",0
1월 기업 직접금융 자금 조달 주식·회사채↑…CP·단기사채↓,0
 스페이스X 공급계약 소식에 세아그룹주 강세,1
"강원에너지, 지난해 영업익 26억…전년비 36.6%↑[주목 e공시]",1
"코스피, 장중 2400선 깨졌다 회복…원·달러 환율 1320원 돌파",1
"""한국콜마, 성장할 일만 남았다…목표가↑""-키움",1
" 풍원정밀, 코스닥 상장 첫날 강세…공모가 상회",1
웹툰도 만화로 '인정'…웹툰 관련주 '강세',1
삼성액티브자산운용 새 대표에 민수아 운용총괄,0
"현대미포조선, 2375억 규모 P/C선 4척 계약 수주[주목 e공시]",1
"우크라 사태 속 원/달러 환율 0.7원 오른 1,202.3원 마감",1
"동국제강, 작년 영업익 7435억원…전년비 7.4%↓[주목 e공시]",2
"국내 가상자산 스테이킹 규제에 촉각…""투자계약증권 가능성 유의해야""",0
"42일 연속 순매도한 국민연금…""24조 더 팔 수도""",0
"저스틴 선 ""홍콩의 가상자산 규제 개편, 중국 본토 정책 바꿀 수 있다""",0
" 한샘, 공개매수 소식에 장 초반 20% 급등",1
"코스피, 보합권 등락…우크라·러시아 교전 지속",0
"메리츠증권, MTS 개편…특화상품 서비스 'M PICK' 선봬",0
대규모 조직 개편나선 코스콤…3대 중장기 전략 박차,0
"애니플러스, 작년 매출액 전년比 3배 증가…""차별화된 밸류체인""",1
"닥사, 랠리(RLY) 유의 종목 해제",0
"금융위, '옵티머스 사태' NH투자증권·하나은행에 업무 일부 정지",0
기관도 주목하는 챗GPT…액티브ETF 내 AI株 비중 확대,1
"나노팀, '따상' 터치…공모가 대비 138% ↑",1
"코스피, 소폭 상승…""업종별 순환매 전망""",1
"코스피, 美 파월 한마디에 '안도 랠리'…시총 상위株 대부분 올라",1
" 원/달러 환율 14.0원 내린 1,301.6원(마감)",0
(마감)코스피 기관 2611억 매수 우위,1
"""음료업계 TSMC""…재평가 받는 삼양패키징",1
35조 매물 폭탄?…'이더리움 상하이' 투자 전략은 [블록체인 Web 3.0 리포트],0
"""BGF, 편의점 경쟁력 확대에 추가적 사업부 진출도 긍정적""-한화",1
"테고사이언스, 회전근개 파열 세포치료제 국내 1·2상 종료",0
"尹 ""오늘 총장 사직하려 한다"" 한마디에 '상한가' 직행한 종목",0
"""對러 제재로 물류대란 악화""…HMM, 14%↑",1
" 뉴욕증시, ""인플레 인내"" 파월 발언에 하락…나스닥 2%↓",2
(마감)프로그램 3390억 매도 우위,2
 역사적 신고가 경신 종목 보니…시장은 '이곳'에 관심,1
"""GM과 배터리 합작공장 설립""…삼성SDI 강세",1
"슈어소프트테크, 엔에이치스팩22호와 합병 승인…4월 코스닥 상장",0
"""2차전지 성장세 더 가파라질 것…K-배터리 중국 따돌릴 무기 있다""",1
"알라메다, 그레이스케일 상대로 환매 허용 및 운용보수 인하 소송 제기",0
카카오 공개매수 나서자…에스엠 주가 13% '급등',1
"코스피, 외국인·기관 팔자에 2700선 아래로…코스닥도 하락",2
"관세청, 작년 가상자산 환치기 5조6000억원 적발",0
"아이큐어, 이영석·이재범 대표이사 체제로 변경[주목 e공시]",0
"2차전지株, 끝 모를 '질주'…3월에도 계속될까 [분석+]",0
"원·달러환율 '속등'…1,230원 '목전'",1
"""LG전자, 극적인 실적 모멘텀 기대…목표가↑""-키움",1
" 삼부토건, 최대주주 지분 매각 추진 소식에 '약세'",2
"신한운용, '메가테크 액티브 ETF' 수익률 20% 기록",1
"美 금리 어디까지…""6% 올린 뒤 장기간 유지 가능성""",0
"금융투자협회, 조직개편 단행…사모펀드 지원업무 '강화'",1
(마감)코스피 기관 2924억 매도 우위,2
환율 연중 최고치 접근...고개 숙인 증시,0
[코스피·코스닥 전 거래일(8일) 주요공시],0
"전기차 시장 확대…다올證 ""화신, 배터리팩 케이스 수주 본격화""",1
"""영업익 흑자전환""…에쓰씨엔지니어링, 장초반 11% 급등",1
"“2차전지+정유산업 동시 호황 누린다…SK이노·LG화학 수혜""-KB",1
(마감)코스피 기관 2926억 매수 우위,1
비트코인 8% 급등…美 재무부 규제 완화 가능성,0
[코스피·코스닥 전 거래일(9일) 주요공시],0
"美 은행주 '쇼크'…코스피 2,400선 붕괴",2
"미 국채금리 진정에 원/달러 환율 하락 출발…1,140원 아래로",0
유가 급락에 되살아난 투심…코스피 2.06%·코스닥 2.31% '급등',1
"감사보고서 제출 임박…거래소 ""한계기업 투자 신중해야""",0
"""윤석열 당선으로 추경 적자국채 부담 완화 예상""",1
"노무라 ""삼성전자·하이닉스 아직 30% 상승 여력 있다""",1
"하이브, 사외이사 후보로 이미경·조백규 씨 추천",0
美 2월 비농업 부문 고용 31만1000명…실업률 3.6%,0
" 여행 관련주, 해외입국자 격리 면제 기대감에 강세",1
"기업은행, 원화 ESG 신종자본증권 5천억 발행…최저 가산금리",0
외인·기관 1조 순매도…코스피 2660선으로 미끌,2
쿠팡 상장에 국내 관련주 '껑충'…한국전자홀딩스 '上',1
